"Fraud_Type","Horizon","Recall","Precision","F1"
"Total",30,1,1,1
"Total",60,1,1,1
"Total",90,1,1,1
"Total",120,1,1,1
"Total",150,0.857142857142857,1,0.923076923076923
"Total",180,0.666666666666667,1,0.8
"Total",210,0.545454545454545,1,0.705882352941176
"Total",240,0.461538461538462,1,0.631578947368421
"Total",270,0.428571428571429,1,0.6
"Identity Fraud",30,0.647058823529412,1,0.785714285714286
"Investments",30,1,0.583333333333333,0.736842105263158
"Job",30,0.884615384615385,1,0.938775510204082
"Merchandise",30,0.25,1,0.4
"Service",30,0.4375,1,0.608695652173913
"Identity Fraud",60,0.5,1,0.666666666666667
"Investments",60,0.875,0.5,0.636363636363636
"Job",60,0.789473684210526,0.769230769230769,0.779220779220779
"Merchandise",60,0.392857142857143,1,0.564102564102564
"Service",60,0.457142857142857,1,0.627450980392157
"Identity Fraud",90,0.531914893617021,1,0.694444444444444
"Investments",90,0.9,0.616438356164384,0.731707317073171
"Job",90,0.82,0.82,0.82
"Merchandise",90,0.41304347826087,1,0.584615384615385
"Service",90,0.519230769230769,1,0.683544303797468
"Identity Fraud",120,0.5,1,0.666666666666667
"Investments",120,0.887096774193548,0.662650602409639,0.758620689655172
"Job",120,0.754098360655738,0.707692307692308,0.73015873015873
"Merchandise",120,0.333333333333333,1,0.5
"Service",120,0.432835820895522,1,0.604166666666667
"Identity Fraud",150,0.455696202531646,1,0.626086956521739
"Investments",150,0.855263157894737,0.585585585585586,0.695187165775401
"Job",150,0.65,0.732394366197183,0.688741721854305
"Merchandise",150,0.272727272727273,1,0.428571428571429
"Service",150,0.452380952380952,1,0.622950819672131
"Identity Fraud",180,0.395604395604396,1,0.566929133858268
"Investments",180,0.813186813186813,0.616666666666667,0.701421800947867
"Job",180,0.64,0.695652173913043,0.666666666666667
"Merchandise",180,0.241758241758242,1,0.389380530973451
"Service",180,0.376237623762376,1,0.546762589928058
"Identity Fraud",210,0.349514563106796,1,0.517985611510791
"Investments",210,0.825688073394495,0.661764705882353,0.73469387755102
"Job",210,0.605504587155963,0.702127659574468,0.650246305418719
"Merchandise",210,0.201834862385321,1,0.33587786259542
"Service",210,0.339285714285714,1,0.506666666666667
"Identity Fraud",240,0.305084745762712,1,0.467532467532468
"Investments",240,0.832,0.693333333333333,0.756363636363636
"Job",240,0.556451612903226,0.711340206185567,0.624434389140271
"Merchandise",240,0.17741935483871,1,0.301369863013699
"Service",240,0.314516129032258,1,0.478527607361963
"Investments",270,0.807142857142857,0.710691823899371,0.755852842809365
